curr_wave,prev_wave,prev_lag,n_slot_matched,pct_sex_ok,pct_age_ok,pct_lineage_ok,pct_verified
2021-04,2021-01,3,11008,0.928688226744186,0.8080486918604651,0.9478561046511628,0.7982376453488372
2021-05,2021-02,3,11146,0.9369280459357617,0.8130270949219451,0.9563969136910102,0.8065673784317244
2021-06,2021-03,3,11081,0.9341214691814819,0.8126522876996661,0.9556899196823392,0.8054327226784587
2021-07,2021-04,3,11022,0.9300489929232444,0.810379241516966,0.9523679912901469,0.8027581201233895
2021-08,2021-05,3,10833,0.9338133481030185,0.8185174928459337,0.9538447336841134,0.8112249607680236
2021-09,2021-06,3,10870,0.9337626494940202,0.8149034038638454,0.9505979760809568,0.80754369825207
2021-10,2021-07,3,10267,0.9276322197331256,0.8082205123210285,0.9516898801986948,0.7987727671179508
2021-10,2021-01,9,5264,0.8979863221884499,0.7376519756838906,0.932370820668693,0.7258738601823708
2021-11,2021-08,3,10667,0.9328770975907003,0.8160682478672542,0.9521889940939345,0.8083809880941221
2021-11,2021-02,9,5101,0.9055087237796511,0.7300529307978828,0.9262889629484414,0.7192707312291707
2021-12,2021-09,3,10740,0.9353817504655494,0.8221601489757915,0.9526070763500931,0.8149906890130354
2021-12,2021-03,9,5128,0.8991809672386896,0.7201638065522621,0.9290171606864275,0.7111934477379095
2022-01,2021-10,3,11957,0.9409550890691645,0.835661119009785,0.9614451785564941,0.8290541105628502
2022-01,2021-04,9,6260,0.923961661341853,0.7694888178913738,0.9440894568690096,0.7611821086261981
2022-02,2021-11,3,11326,0.9489669786332333,0.8431926540702808,0.9610630407911002,0.8372770616281123
2022-02,2021-05,9,6208,0.9366945876288659,0.7870489690721649,0.951514175257732,0.7778672680412371
2022-03,2021-12,3,11460,0.9454624781849913,0.8367364746945899,0.9589005235602094,0.8319371727748691
2022-03,2021-06,9,6349,0.920144904709403,0.7678374547172783,0.9406205701685305,0.7585446527012127
2022-04,2022-01,3,12041,0.9499211028984303,0.8559089776596628,0.9652852753093597,0.85001245743709
2022-04,2021-07,9,6093,0.924831774167077,0.7884457574265551,0.9451829968816675,0.7785983915969145
2022-05,2022-02,3,11842,0.94561729437595,0.84318527275798,0.9609863198783989,0.8358385407870292
2022-05,2021-08,9,5992,0.9135514018691588,0.7656875834445928,0.9387516688918558,0.7556742323097463
2022-06,2022-03,3,11832,0.9485294117647058,0.8452501690331304,0.9605307640297498,0.8389114266396214
2022-06,2021-09,9,6367,0.9291660122506675,0.7780744463640648,0.9476990733469451,0.7694361551751218
2022-07,2022-04,3,11876,0.943499494779387,0.836982148871674,0.9590771303469181,0.831508925564163
2022-07,2021-10,9,12210,0.9173628173628173,0.7594594594594595,0.9452907452907453,0.7506961506961507
2022-08,2022-05,3,11651,0.953909535662175,0.8508282550854004,0.9621491717449145,0.8457643120762166
2022-08,2021-11,9,12544,0.9310427295918368,0.7879464285714286,0.9529655612244898,0.7800542091836735
2022-09,2022-06,3,11940,0.9520100502512563,0.8505025125628141,0.961641541038526,0.8463149078726968
2022-09,2021-12,9,12369,0.9265906702239469,0.7774274395666586,0.9473684210526315,0.7682108497049074
2022-10,2022-07,3,13074,0.9564785069603794,0.8566620774055377,0.963285910968334,0.8520728162765795
2022-10,2022-01,9,6365,0.9288295365278869,0.7798900235663786,0.9483110761979576,0.7715632364493323
2022-11,2022-08,3,13146,0.9549672904305492,0.8579796135706679,0.9666058116537349,0.8532633500684619
2022-11,2022-02,9,6158,0.9253004222150049,0.7770379993504385,0.9441377070477428,0.7671321857746022
2022-12,2022-09,3,13073,0.9601468675896887,0.8651418955098295,0.9706264820622658,0.8609347510135393
2022-12,2022-03,9,6252,0.927703134996801,0.7727127319257837,0.9513755598208573,0.7631158029430583
2023-01,2022-10,3,12065,0.9523414836303357,0.8497306257770411,0.9656029838375466,0.8440116038126813
2023-01,2022-04,9,6206,0.9287786013535289,0.7703834998388656,0.9523042217209152,0.763938124395746
2023-02,2022-11,3,11789,0.9541945881754178,0.8513868860802443,0.9656459411315633,0.8457036220205276
2023-02,2022-05,9,6299,0.9333227496428005,0.7728210827115415,0.9491982854421337,0.7639307826639149
2023-03,2022-12,3,11734,0.9497187659792057,0.8523095278677348,0.9607124595193455,0.845576955854781
2023-03,2022-06,9,6167,0.9387060158910329,0.7819036808821145,0.9497324468947624,0.7760661585860223
2023-04,2023-01,3,11800,0.9578813559322034,0.8567796610169491,0.9672033898305085,0.8515254237288136
2023-04,2022-07,9,6193,0.9239463910867108,0.7619893428063943,0.9476828677539157,0.7513321492007105
2023-05,2023-02,3,12020,0.9541597337770382,0.8499168053244592,0.96522462562396,0.8450915141430948
2023-05,2022-08,9,6225,0.931566265060241,0.7693172690763053,0.9506827309236948,0.7633734939759036
2023-06,2023-03,3,11725,0.9529211087420043,0.8537313432835821,0.9650319829424308,0.8474200426439232
2023-06,2022-09,9,6172,0.933246921581335,0.7759235255994815,0.948152948801037,0.7694426441996112
2023-07,2023-04,3,11437,0.9528722567106759,0.8405176182565358,0.9624901635044155,0.8342222610824517
2023-07,2022-10,9,0,NA,NA,NA,NA
2023-08,2023-05,3,11638,0.950592885375494,0.8460216532050181,0.9610757862175632,0.8409520536174601
2023-08,2022-11,9,0,NA,NA,NA,NA
2023-09,2023-06,3,11418,0.9502539849360658,0.8417411105272377,0.9664564722368191,0.8352601156069365
2023-09,2022-12,9,0,NA,NA,NA,NA
2023-10,2023-07,3,9982,0.9368863955119214,0.8112602684832699,0.9552193949108395,0.8042476457623723
2023-10,2023-01,9,6222,0.9349083895853423,0.7775634844101575,0.9501767920282868,0.7714561234329798
2023-11,2023-08,3,10321,0.9339211316732875,0.8167813196395698,0.9556244549946711,0.8083519038852824
2023-11,2023-02,9,6171,0.9333981526494896,0.7830173391670718,0.9496029816885432,0.7745908280667639
2023-12,2023-09,3,10342,0.9404370527944305,0.822084703152195,0.9565847998452911,0.8162831173854187
2023-12,2023-03,9,5940,0.9346801346801347,0.789057239057239,0.9543771043771043,0.7808080808080808
2024-01,2023-10,3,11666,0.9525115720898337,0.8429624549974284,0.9667409566260929,0.8377335847762729
2024-01,2023-04,9,6018,0.938185443668993,0.7700232635427052,0.9523097374543038,0.7630442007311399
2024-02,2023-11,3,11522,0.9553896892900539,0.8471619510501649,0.9666724526991841,0.8423884742232252
2024-02,2023-05,9,6359,0.9282906117314043,0.7729202704827803,0.949363107406825,0.7636420820883787
2024-03,2023-12,3,11027,0.9517547837127052,0.8416613766210211,0.9647229527523352,0.8361295003174027
2024-03,2023-06,9,6156,0.9264132553606238,0.7693307342430149,0.9475308641975309,0.76137102014295
2024-04,2024-01,3,11370,0.9468777484608619,0.8340369393139841,0.9623570800351803,0.8284960422163589
2024-04,2023-07,9,6098,0.9439160380452607,0.7789439160380452,0.9516234831092162,0.7733683174811413
2024-05,2024-02,3,11539,0.9455758731259208,0.835514342664009,0.9624750844960569,0.8296212843400641
2024-05,2023-08,9,6149,0.9300699300699301,0.7576841762888274,0.9442185721255488,0.7524800780614734
2024-06,2024-03,3,11275,0.9497117516629712,0.84,0.9634589800443459,0.8337915742793791
2024-06,2023-09,9,6032,0.9302055702917772,0.756631299734748,0.9423076923076923,0.7498342175066313
