prev_lag,prev_wave,curr_wave,n_prev,n_curr,n_matched,overlap_rate
3,2025-02,2025-05,8732,8709,3649,0.4178882272102611
9,2024-08,2025-05,8864,8709,1901,0.2144629963898917
3,2025-03,2025-06,8741,8733,3598,0.4116233840521679
9,2024-09,2025-06,8870,8733,1934,0.21803833145434048
3,2025-04,2025-07,8771,8571,3645,0.41557405084939003
9,2024-10,2025-07,8767,8571,0,0
3,2025-05,2025-08,8709,8575,3589,0.4121024227810311
9,2024-11,2025-08,8731,8575,0,0
3,2025-06,2025-09,8733,8548,3617,0.41417611359212186
9,2024-12,2025-09,8677,8548,0,0
3,2025-07,2025-10,8571,8742,3185,0.3716019134290048
9,2025-01,2025-10,8765,8742,1978,0.22567027952082144
3,2025-08,2025-11,8575,8733,3218,0.3752769679300292
9,2025-02,2025-11,8732,8733,1939,0.22205680256527713
3,2025-09,2025-12,8548,8713,3152,0.3687412260177819
9,2025-03,2025-12,8741,8713,1964,0.22468825077222285
3,2025-10,2026-01,8742,8771,3649,0.41741020361473347
9,2025-04,2026-01,8771,8771,1932,0.2202713487629689
3,2025-11,2026-02,8733,8740,3645,0.4173823428375129
9,2025-05,2026-02,8709,8740,1941,0.2228728901136755
3,2025-12,2026-03,8713,8758,3609,0.41420865373579707
9,2025-06,2026-03,8733,8758,1948,0.22306194892934844
3,2026-01,2026-04,8771,8701,3559,0.4057690115152206
9,2025-07,2026-04,8571,8701,1899,0.22156107805390268
3,2026-02,2026-05,8740,8731,3593,0.4110983981693364
9,2025-08,2026-05,8575,8731,1972,0.22997084548104957
